State,Company,Year,Checking or savings account,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection,"Money transfer, virtual currency, or money service",Mortgage,"Payday loan, title loan, or personal loan",Student loan,Vehicle loan or lease,Total
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2011,0,2,0,0,0,1,0,0,0,3
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2012,0,8,0,0,0,8,0,0,0,16
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2013,1,4,0,0,0,12,0,0,0,17
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2014,1,4,0,0,0,5,0,0,0,10
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2015,1,6,0,0,0,2,1,0,0,10
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2016,3,8,0,1,0,4,0,0,0,16
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2017,0,10,0,3,0,0,0,0,0,13
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2018,0,14,1,0,0,8,0,0,0,23
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2019,1,12,0,5,0,1,0,0,0,19
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2020,0,4,2,0,0,2,0,0,0,8
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2021,2,9,2,0,0,0,0,0,0,13
AK,"BANK OF AMERICA, NATIONAL ASSOCIATION",2022,1,7,4,1,3,5,0,0,0,21
AK,CAPITAL ONE FINANCIAL CORPORATION,2012,0,4,0,0,0,0,0,0,0,4
AK,CAPITAL ONE FINANCIAL CORPORATION,2013,1,5,0,0,0,0,0,0,0,6
AK,CAPITAL ONE FINANCIAL CORPORATION,2014,0,4,0,0,0,0,0,0,0,4
AK,CAPITAL ONE FINANCIAL CORPORATION,2015,0,4,0,0,0,0,0,0,0,4
AK,CAPITAL ONE FINANCIAL CORPORATION,2016,0,2,0,0,0,0,1,0,0,3
AK,CAPITAL ONE FINANCIAL CORPORATION,2017,0,6,0,1,1,0,0,0,0,8
AK,CAPITAL ONE FINANCIAL CORPORATION,2018,3,5,3,2,0,0,0,0,0,13
AK,CAPITAL ONE FINANCIAL CORPORATION,2019,0,2,1,2,0,0,0,0,0,5
AK,CAPITAL ONE FINANCIAL CORPORATION,2020,0,9,3,1,0,0,0,0,0,13
AK,CAPITAL ONE FINANCIAL CORPORATION,2021,0,4,2,0,0,0,1,0,0,7
AK,CAPITAL ONE FINANCIAL CORPORATION,2022,1,6,1,1,0,0,0,0,0,9
AK,"CITIBANK, N.A.",2012,0,0,0,0,0,1,0,0,0,1
AK,"CITIBANK, N.A.",2013,1,2,0,0,0,2,0,0,0,5
AK,"CITIBANK, N.A.",2014,0,1,0,1,0,3,0,0,0,5
AK,"CITIBANK, N.A.",2015,1,1,0,2,0,1,0,0,0,5
AK,"CITIBANK, N.A.",2016,1,5,0,0,0,0,0,0,0,6
AK,"CITIBANK, N.A.",2017,0,10,1,0,0,1,0,0,0,12
AK,"CITIBANK, N.A.",2018,2,1,0,1,0,0,0,0,0,4
AK,"CITIBANK, N.A.",2019,0,3,0,1,0,0,0,0,0,4
AK,"CITIBANK, N.A.",2020,0,1,1,0,0,0,0,0,0,2
AK,"CITIBANK, N.A.",2021,1,3,0,0,0,0,0,0,0,4
AK,"CITIBANK, N.A.",2022,0,5,0,0,1,0,0,0,0,6
AK,"EQUIFAX, INC.",2012,0,0,5,0,0,0,0,0,0,5
AK,"EQUIFAX, INC.",2013,0,0,8,0,0,0,0,0,0,8
AK,"EQUIFAX, INC.",2014,0,0,13,0,0,0,0,0,0,13
AK,"EQUIFAX, INC.",2015,0,0,11,0,0,0,0,0,0,11
AK,"EQUIFAX, INC.",2016,0,0,16,0,0,0,0,0,0,16
AK,"EQUIFAX, INC.",2017,0,0,24,1,0,0,0,0,0,25
AK,"EQUIFAX, INC.",2018,0,0,27,4,0,0,0,0,0,31
AK,"EQUIFAX, INC.",2019,0,0,14,4,0,1,0,0,0,19
AK,"EQUIFAX, INC.",2020,0,0,54,2,0,0,0,0,0,56
AK,"EQUIFAX, INC.",2021,0,0,82,0,0,0,0,0,0,82
AK,"EQUIFAX, INC.",2022,0,0,105,1,0,0,0,0,0,106
AK,Experian Information Solutions Inc.,2012,0,0,2,0,0,0,0,0,0,2
AK,Experian Information Solutions Inc.,2013,0,0,10,0,0,0,0,0,0,10
AK,Experian Information Solutions Inc.,2014,0,0,15,0,0,0,0,0,0,15
AK,Experian Information Solutions Inc.,2015,0,0,14,0,0,0,0,0,0,14
AK,Experian Information Solutions Inc.,2016,0,0,17,0,0,0,0,0,0,17
AK,Experian Information Solutions Inc.,2017,0,0,6,1,0,0,0,0,0,7
AK,Experian Information Solutions Inc.,2018,0,0,23,3,0,0,0,0,0,26
AK,Experian Information Solutions Inc.,2019,0,0,25,0,0,0,0,0,0,25
AK,Experian Information Solutions Inc.,2020,0,0,92,2,0,0,0,0,0,94
AK,Experian Information Solutions Inc.,2021,0,0,33,0,0,0,0,0,0,33
AK,Experian Information Solutions Inc.,2022,0,0,109,0,0,0,0,0,0,109
AK,JPMORGAN CHASE & CO.,2011,0,1,0,0,0,0,0,0,0,1
AK,JPMORGAN CHASE & CO.,2012,1,3,0,0,0,2,1,0,0,7
AK,JPMORGAN CHASE & CO.,2013,1,5,0,2,0,1,0,1,0,10
AK,JPMORGAN CHASE & CO.,2014,0,2,0,1,0,1,0,0,0,4
AK,JPMORGAN CHASE & CO.,2015,0,2,0,0,0,0,0,0,0,2
AK,JPMORGAN CHASE & CO.,2016,2,3,0,0,0,3,0,0,0,8
AK,JPMORGAN CHASE & CO.,2017,1,1,1,0,0,1,0,0,0,4
AK,JPMORGAN CHASE & CO.,2019,0,1,0,0,0,0,0,0,0,1
AK,JPMORGAN CHASE & CO.,2020,2,2,0,0,0,0,0,0,0,4
AK,JPMORGAN CHASE & CO.,2021,0,1,2,0,0,1,0,0,0,4
AK,JPMORGAN CHASE & CO.,2022,0,0,3,0,1,0,0,0,0,4
AK,"Navient Solutions, LLC.",2012,0,0,0,0,0,0,0,2,0,2
AK,"Navient Solutions, LLC.",2013,0,0,0,1,0,0,0,1,0,2
AK,"Navient Solutions, LLC.",2014,0,0,0,3,0,0,0,1,0,4
AK,"Navient Solutions, LLC.",2016,0,0,0,1,0,0,0,5,0,6
AK,"Navient Solutions, LLC.",2017,0,0,0,0,0,0,0,14,0,14
AK,"Navient Solutions, LLC.",2018,0,0,4,2,0,0,0,3,0,9
AK,"Navient Solutions, LLC.",2019,0,0,1,0,0,0,0,5,0,6
AK,"Navient Solutions, LLC.",2020,0,0,0,1,0,0,0,2,0,3
AK,"Navient Solutions, LLC.",2021,0,0,1,1,0,0,0,3,0,5
AK,"Navient Solutions, LLC.",2022,0,0,0,0,0,0,0,3,0,3
AK,SYNCHRONY FINANCIAL,2012,0,2,0,0,0,0,0,0,0,2
AK,SYNCHRONY FINANCIAL,2013,0,2,0,1,0,0,0,0,0,3
AK,SYNCHRONY FINANCIAL,2014,0,1,0,2,0,0,0,0,0,3
AK,SYNCHRONY FINANCIAL,2015,0,0,0,3,0,0,0,0,0,3
AK,SYNCHRONY FINANCIAL,2016,0,3,0,0,0,0,0,0,0,3
AK,SYNCHRONY FINANCIAL,2017,1,1,0,0,0,0,0,0,0,2
AK,SYNCHRONY FINANCIAL,2018,0,0,1,1,0,0,0,0,0,2
AK,SYNCHRONY FINANCIAL,2019,0,0,1,1,0,0,0,0,0,2
AK,SYNCHRONY FINANCIAL,2020,0,3,3,0,1,0,0,0,0,7
AK,SYNCHRONY FINANCIAL,2021,0,3,5,2,1,0,1,0,0,12
AK,SYNCHRONY FINANCIAL,2022,0,0,1,1,0,0,0,0,0,2
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2012,0,0,2,0,0,0,0,0,0,2
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2013,0,0,9,0,0,0,0,0,0,9
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2014,0,0,10,0,0,0,0,0,0,10
AK,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2015,0,0,12,0,0,0,0,0,0,12
